,0,1,2,3
0,0,[   1    2    3 ... 2874 2876 2879],[ 4  5  6  9 10 13 14],"[875.0562246568089, 0.9951151430565248, 4.989176525814769e-06]"
1,0,[   0    1    2 ... 2880 2881 2883],[ 0  1  5  6 10 15 16],"[1151.5782454832445, 0.9951790633608816, 4.749269732974481e-06]"
2,0,[   0    1    2 ... 2877 2879 2880],[ 1  4  5  6  7  8  9 10 11 12 15],"[989.1863458306892, 0.9923023093072079, 4.72587350616445e-06]"
3,0,[   7   11   12 ... 2879 2880 2881],[ 1  2  4  5  7  8 11 12 14 15 16],"[990.9839761695656, 0.9920520231213873, 4.8261398259372676e-06]"
4,0,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.9024013837553, 0.9930118798043326, 4.742231377378222e-06]"
5,0,[   1    4    5 ... 2881 2882 2883],[ 0  1  3  6  7  8 10 12 13 15],"[1102.621473666095, 0.9932614555256065, 4.477504792166619e-06]"
6,0,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0917178663165, 0.991701244813278, 4.8078607278846985e-06]"
7,0,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.0272983374387, 0.995711222301644, 4.644572878824487e-06]"
8,0,[   1    6    8 ... 2880 2881 2883],[ 0  1  6 11 12 13 15 16],"[1027.6814684907267, 0.9943181818181818, 4.665439428715354e-06]"
9,0,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.6706681787327, 0.9951014695591323, 4.6783783020515295e-06]"
10,0,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.6706681787327, 0.9951014695591323, 4.6783783020515295e-06]"
11,0,[   1    2    3 ... 2874 2876 2879],[ 4  5  6  9 10 13 14],"[875.0562246568089, 0.9951151430565248, 4.989176525814769e-06]"
12,0,[   0    2    3 ... 2878 2879 2883],[ 0  4  5 13 15],"[1053.5287599025457, 0.9965181058495822, 4.571082678179549e-06]"
13,0,[   2    7   10 ... 2880 2881 2882],[ 1  2  4  5  7  8 11 12 13 14 15],"[959.1601722257016, 0.9923875432525952, 4.624511694240254e-06]"
14,0,[   3    4    5 ... 2881 2882 2883],[ 0  1  2  3  6 11 12 16],"[1171.922643392081, 0.9944636678200692, 4.583526667344879e-06]"
15,0,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0917178663165, 0.991701244813278, 4.8078607278846985e-06]"
16,0,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.311999648543, 0.9957081545064378, 4.6419081133324965e-06]"
17,0,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1249.889627615142, 0.9951048951048951, 4.68108657290517e-06]"
18,0,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.9024013837553, 0.9930118798043326, 4.742231377378222e-06]"
19,0,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.0272983374387, 0.995711222301644, 4.644572878824487e-06]"
20,1,[   1    2    3 ... 2874 2876 2879],[ 4  5  6  9 10 13 14],"[875.0562246568089, 0.9951151430565248, 4.989176525814769e-06]"
21,1,[   0    1    2 ... 2880 2881 2883],[ 0  1  5  6 10 15 16],"[1151.5782454832445, 0.9951790633608816, 4.749269732974481e-06]"
22,1,[   0    1    2 ... 2877 2879 2880],[ 1  4  5  6  7  8  9 10 11 12 15],"[989.1863458306892, 0.9923023093072079, 4.72587350616445e-06]"
23,1,[   7   11   12 ... 2879 2880 2881],[ 1  2  4  5  7  8 11 12 14 15 16],"[990.9839761695656, 0.9920520231213873, 4.8261398259372676e-06]"
24,1,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.9024013837553, 0.9930118798043326, 4.742231377378222e-06]"
25,1,[   1    4    5 ... 2881 2882 2883],[ 0  1  3  6  7  8 10 12 13 15],"[1102.621473666095, 0.9932614555256065, 4.477504792166619e-06]"
26,1,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0917178663165, 0.991701244813278, 4.8078607278846985e-06]"
27,1,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.0272983374387, 0.995711222301644, 4.644572878824487e-06]"
28,1,[   1    6    8 ... 2880 2881 2883],[ 0  1  6 11 12 13 15 16],"[1027.6814684907267, 0.9943181818181818, 4.665439428715354e-06]"
29,1,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.6706681787327, 0.9951014695591323, 4.6783783020515295e-06]"
30,1,[   7   11   12 ... 2879 2880 2881],[ 1  2  4  5  7  8 11 12 14 15 16],"[991.0923040116658, 0.9920462762111352, 4.829235969330353e-06]"
31,1,[   1    3    4 ... 2881 2882 2883],[ 0  1  3  4  6  8 11 12 15],"[1082.1562919059265, 0.9937888198757764, 4.527078640712932e-06]"
32,1,[   0    1    5 ... 2881 2882 2883],[ 0  1  2  3  5  9 13 16],"[1238.7055431761717, 0.9944482997918113, 4.82887149182234e-06]"
33,1,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.9024013837553, 0.9930118798043326, 4.742231377378222e-06]"
34,1,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0956813767532, 0.9917069799585349, 4.813009527617801e-06]"
35,1,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[948.1117044549854, 0.993006993006993, 4.735959930178293e-06]"
36,1,[   7   11   12 ... 2879 2880 2881],[ 1  2  4  5  7  8 11 12 14 15 16],"[990.9839761695656, 0.9920520231213873, 4.8261398259372676e-06]"
37,1,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0917178663165, 0.991701244813278, 4.8078607278846985e-06]"
38,1,[   1    4    5 ... 2881 2882 2883],[ 0  1  2  3  5  6  7  8 12 13 14 15],"[1085.6117817225509, 0.9919732441471572, 4.590392770006675e-06]"
39,1,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0917178663165, 0.991701244813278, 4.8078607278846985e-06]"
40,2,[   1    2    3 ... 2874 2876 2879],[ 4  5  6  9 10 13 14],"[875.0562246568089, 0.9951151430565248, 4.989176525814769e-06]"
41,2,[   0    1    2 ... 2880 2881 2883],[ 0  1  5  6 10 15 16],"[1151.5782454832445, 0.9951790633608816, 4.749269732974481e-06]"
42,2,[   0    1    2 ... 2877 2879 2880],[ 1  4  5  6  7  8  9 10 11 12 15],"[989.1863458306892, 0.9923023093072079, 4.72587350616445e-06]"
43,2,[   7   11   12 ... 2879 2880 2881],[ 1  2  4  5  7  8 11 12 14 15 16],"[990.9839761695656, 0.9920520231213873, 4.8261398259372676e-06]"
44,2,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.9024013837553, 0.9930118798043326, 4.742231377378222e-06]"
45,2,[   1    4    5 ... 2881 2882 2883],[ 0  1  3  6  7  8 10 12 13 15],"[1102.621473666095, 0.9932614555256065, 4.477504792166619e-06]"
46,2,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0917178663165, 0.991701244813278, 4.8078607278846985e-06]"
47,2,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.0272983374387, 0.995711222301644, 4.644572878824487e-06]"
48,2,[   1    6    8 ... 2880 2881 2883],[ 0  1  6 11 12 13 15 16],"[1027.6814684907267, 0.9943181818181818, 4.665439428715354e-06]"
49,2,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.6706681787327, 0.9951014695591323, 4.6783783020515295e-06]"
50,2,[   0    3    5 ... 2881 2882 2883],[ 0  1  3  4  8  9 11 12 13],"[1114.4950958609734, 0.9937369519832986, 4.606999438853236e-06]"
51,2,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.3048166019796, 0.9951048951048951, 4.675294111792669e-06]"
52,2,[   0    2    5 ... 2879 2880 2881],[ 1  2  5  7  8  9 11 12 16],"[1076.0681014395486, 0.9935158501440923, 4.907571038905741e-06]"
53,2,[   1    4    6 ... 2879 2880 2882],[ 1  3  4  5  7  9 10 13 14],"[1005.5732429641985, 0.9938692098092643, 4.840759353795848e-06]"
54,2,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.636067113612, 0.9957081545064378, 4.64061531236095e-06]"
55,2,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.382974068888, 0.9951048951048951, 4.681570426715674e-06]"
56,2,[   1    2    3 ... 2880 2881 2883],[ 0  3  6  7  9 12 15],"[1177.4478685753431, 0.9953114534494307, 4.687085773680751e-06]"
57,2,[   1    2    3 ... 2874 2876 2879],[ 4  5  6  9 10 13 14],"[875.0562246568089, 0.9951151430565248, 4.989176525814769e-06]"
58,2,[   1    4    5 ... 2881 2882 2883],[ 0  1  3  6  7  8 10 12 13 15],"[1102.4571360016807, 0.9932569116655429, 4.47885998917401e-06]"
59,2,[   7   11   12 ... 2879 2880 2881],[ 1  2  4  5  7  8 11 12 14 15 16],"[991.2080780085842, 0.992057761732852, 4.824421577075785e-06]"
60,3,[   1    2    3 ... 2874 2876 2879],[ 4  5  6  9 10 13 14],"[875.0562246568089, 0.9951151430565248, 4.989176525814769e-06]"
61,3,[   0    1    2 ... 2880 2881 2883],[ 0  1  5  6 10 15 16],"[1151.5782454832445, 0.9951790633608816, 4.749269732974481e-06]"
62,3,[   0    1    2 ... 2877 2879 2880],[ 1  4  5  6  7  8  9 10 11 12 15],"[989.1863458306892, 0.9923023093072079, 4.72587350616445e-06]"
63,3,[   7   11   12 ... 2879 2880 2881],[ 1  2  4  5  7  8 11 12 14 15 16],"[990.9839761695656, 0.9920520231213873, 4.8261398259372676e-06]"
64,3,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.9024013837553, 0.9930118798043326, 4.742231377378222e-06]"
65,3,[   1    4    5 ... 2881 2882 2883],[ 0  1  3  6  7  8 10 12 13 15],"[1102.621473666095, 0.9932614555256065, 4.477504792166619e-06]"
66,3,[   0    1    5 ... 2880 2882 2883],[ 0  1  2  5  7  8  9 10 12 13 15 16],"[1158.0917178663165, 0.991701244813278, 4.8078607278846985e-06]"
67,3,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.0272983374387, 0.995711222301644, 4.644572878824487e-06]"
68,3,[   1    6    8 ... 2880 2881 2883],[ 0  1  6 11 12 13 15 16],"[1027.6814684907267, 0.9943181818181818, 4.665439428715354e-06]"
69,3,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.6706681787327, 0.9951014695591323, 4.6783783020515295e-06]"
70,3,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1251.0896025477018, 0.9950980392156863, 4.680940442193015e-06]"
71,3,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.3749482645283, 0.9930167597765364, 4.739516379609787e-06]"
72,3,[   0    1    2 ... 2878 2880 2883],[ 0  1  5  8  9 15],"[1242.7381201777, 0.9957081545064378, 4.641250290463987e-06]"
73,3,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.2723838199763, 0.9951048951048951, 4.681097404500576e-06]"
74,3,[   1    4    8 ... 2879 2880 2882],[ 1  3  4  8  9 10 11 12 13 14],"[947.1988196244313, 0.993006993006993, 4.726398617482242e-06]"
75,3,[   0    1    3 ... 2881 2882 2883],[ 0  1  2  6 10 14 16],"[1250.4865181172474, 0.9951048951048951, 4.694199630782302e-06]"
76,3,[   1    2    3 ... 2880 2881 2882],[ 3  5  7  8  9 10 11 12 14],"[878.1226312713916, 0.993801652892562, 4.724092948589532e-06]"
