,0,1,2,3
0,0,[   3    4    7 ... 2878 2881 2882],[ 2  4  6  8  9 11 12 13 14 15 16],"[920.2285321645818, 0.9924137931034482, 4.9511953160181135e-06]"
1,0,[   0    1    6 ... 2877 2879 2882],[ 2  3  4  5  6  7  9 10],"[1019.1452952350617, 0.9944328462073765, 4.82424069639429e-06]"
2,0,[   0    1    5 ... 2876 2877 2881],[ 7  8 13 14 16],"[552.7202181584528, 0.9964209019327129, 4.629734825820181e-06]"
3,0,[   0    1    5 ... 2879 2880 2881],[ 2  4  5  6  8  9 12 14],"[996.0067387586972, 0.9946164199192463, 4.925922002939276e-06]"
4,0,[   0    1    3 ... 2879 2881 2883],[ 0  1  4  8  9 13 14 16],"[1131.1372688063643, 0.9945167923235092, 4.638888852876424e-06]"
5,0,[   1    2    3 ... 2874 2877 2879],[ 1  7  8  9 10 12 13 16],"[962.4388568380895, 0.9943938332165382, 4.731036317969645e-06]"
6,0,[   2    3    4 ... 2879 2881 2882],[ 2  3  6  7 13 14 15 16],"[935.7353584140819, 0.9944016794961511, 4.968939240171323e-06]"
7,0,[   3    5    6 ... 2880 2882 2883],[ 0  1  4  5  8 14 16],"[1091.275043226139, 0.9952574525745257, 4.463141691100602e-06]"
8,0,[   0    1    3 ... 2879 2881 2882],[ 4  5  6 11 13 14],"[658.4195298057566, 0.995850622406639, 4.7154764474783185e-06]"
9,0,[   3    4    5 ... 2871 2872 2878],[ 4  6  9 11],"[877.6919890614445, 0.9973045822102425, 5.090975540261732e-06]"
10,0,[   3    5    6 ... 2880 2882 2883],[ 0  1  4  5  8 14 16],"[1091.2355759353618, 0.995260663507109, 4.461225191094934e-06]"
11,0,[   0    1    5 ... 2879 2880 2881],[ 2  4  5  6  8  9 12 14],"[996.0392721831106, 0.9946127946127946, 4.928254052554641e-06]"
12,0,[   0    1    5 ... 2879 2881 2882],[ 1  4  5  6  8  9 16],"[992.37919897593, 0.9952925353059852, 4.889847848161677e-06]"
13,0,[   3    4    5 ... 2871 2872 2878],[ 4  6  9 11],"[877.1745598521694, 0.9973063973063973, 5.0891663219945366e-06]"
14,0,[   3    4    5 ... 2871 2872 2878],[ 4  6  9 11],"[877.6919890614445, 0.9973045822102425, 5.090975540261732e-06]"
15,0,[   0    1    3 ... 2879 2880 2883],[ 0  3  4  8  9 13 14 15 16],"[1062.6661525047616, 0.9937369519832986, 4.764753235275038e-06]"
16,0,[   0    1    3 ... 2879 2881 2883],[ 0  1  4  8  9 13 14 16],"[1130.5061150368267, 0.9945205479452055, 4.636098286682482e-06]"
17,0,[   0    1    2 ... 2874 2876 2877],[ 1  8  9 10 12 13 15],"[969.8697819308125, 0.9951321279554938, 4.881031638277585e-06]"
18,0,[   0    2    3 ... 2880 2882 2883],[ 0  2  4  5  6 12 14],"[1068.932174205296, 0.99519890260631, 4.473077763971062e-06]"
19,0,[   3    5    6 ... 2880 2882 2883],[ 0  1  4  5  8 14 16],"[1090.8785714262262, 0.9952542372881356, 4.46569439101599e-06]"
20,1,[   3    4    7 ... 2878 2881 2882],[ 2  4  6  8  9 11 12 13 14 15 16],"[920.2285321645818, 0.9924137931034482, 4.9511953160181135e-06]"
21,1,[   0    1    6 ... 2877 2879 2882],[ 2  3  4  5  6  7  9 10],"[1019.1452952350617, 0.9944328462073765, 4.82424069639429e-06]"
22,1,[   0    1    5 ... 2876 2877 2881],[ 7  8 13 14 16],"[552.7202181584528, 0.9964209019327129, 4.629734825820181e-06]"
23,1,[   0    1    5 ... 2879 2880 2881],[ 2  4  5  6  8  9 12 14],"[996.0067387586972, 0.9946164199192463, 4.925922002939276e-06]"
24,1,[   0    1    3 ... 2879 2881 2883],[ 0  1  4  8  9 13 14 16],"[1131.1372688063643, 0.9945167923235092, 4.638888852876424e-06]"
25,1,[   1    2    3 ... 2874 2877 2879],[ 1  7  8  9 10 12 13 16],"[962.4388568380895, 0.9943938332165382, 4.731036317969645e-06]"
26,1,[   2    3    4 ... 2879 2881 2882],[ 2  3  6  7 13 14 15 16],"[935.7353584140819, 0.9944016794961511, 4.968939240171323e-06]"
27,1,[   3    5    6 ... 2880 2882 2883],[ 0  1  4  5  8 14 16],"[1091.275043226139, 0.9952574525745257, 4.463141691100602e-06]"
28,1,[   0    1    3 ... 2879 2881 2882],[ 4  5  6 11 13 14],"[658.4195298057566, 0.995850622406639, 4.7154764474783185e-06]"
29,1,[   3    4    5 ... 2871 2872 2878],[ 4  6  9 11],"[877.6919890614445, 0.9973045822102425, 5.090975540261732e-06]"
30,1,[   3    4    5 ... 2871 2872 2878],[ 4  6  9 11],"[877.5348508088745, 0.9973063973063973, 5.087707090136535e-06]"
31,1,[   0    1    3 ... 2880 2881 2883],[ 0  1  2  4  6  8  9 15],"[1314.4837511088188, 0.9945054945054945, 4.807949575593035e-06]"
32,1,[   0    1    5 ... 2879 2880 2881],[ 2  4  5  6  8  9 12 14],"[996.5679468219072, 0.9946200403496974, 4.923345314511367e-06]"
33,1,[   0    1    6 ... 2877 2879 2882],[ 2  3  4  5  6  7  9 10],"[1018.5547473677874, 0.9944289693593314, 4.8267025779998455e-06]"
34,1,[   1    2    5 ... 2879 2880 2881],[ 2  3  5  6  8  9 12 14],"[1013.8432440556717, 0.9944979367262724, 4.8752581293870566e-06]"
35,1,[   2    3    4 ... 2873 2875 2882],[ 4  6  9 10 13 15],"[909.4677431646924, 0.9959866220735786, 5.1740167707767084e-06]"
36,1,[   1    2    3 ... 2874 2877 2879],[ 1  7  8  9 10 12 13 16],"[962.4388568380895, 0.9943938332165382, 4.731036317969645e-06]"
37,1,[   3    5    6 ... 2880 2882 2883],[ 0  1  4  5  8 14 16],"[1091.275043226139, 0.9952574525745257, 4.463141691100602e-06]"
38,1,[   0    1    3 ... 2879 2881 2883],[ 0  1  4  8  9 13 14 16],"[1131.1372688063643, 0.9945167923235092, 4.638888852876424e-06]"
39,1,[   1    2    3 ... 2874 2876 2877],[ 7  8  9 10 12 13],"[809.0361914255728, 0.9958275382475661, 4.872046412833848e-06]"
40,2,[   3    4    7 ... 2878 2881 2882],[ 2  4  6  8  9 11 12 13 14 15 16],"[920.2285321645818, 0.9924137931034482, 4.9511953160181135e-06]"
41,2,[   0    1    6 ... 2877 2879 2882],[ 2  3  4  5  6  7  9 10],"[1019.1452952350617, 0.9944328462073765, 4.82424069639429e-06]"
42,2,[   0    1    5 ... 2876 2877 2881],[ 7  8 13 14 16],"[552.7202181584528, 0.9964209019327129, 4.629734825820181e-06]"
43,2,[   0    1    5 ... 2879 2880 2881],[ 2  4  5  6  8  9 12 14],"[996.0067387586972, 0.9946164199192463, 4.925922002939276e-06]"
44,2,[   0    1    3 ... 2879 2881 2883],[ 0  1  4  8  9 13 14 16],"[1131.1372688063643, 0.9945167923235092, 4.638888852876424e-06]"
45,2,[   1    2    3 ... 2874 2877 2879],[ 1  7  8  9 10 12 13 16],"[962.4388568380895, 0.9943938332165382, 4.731036317969645e-06]"
