,0,1,2,3
0,0,[   1    2    5 ... 2874 2875 2879],[ 2  3  4  6  7  8 11 15],"[942.7715831932585, 11496, 13646.733570932238]"
1,0,[   6    7    9 ... 2879 2880 2883],[ 0  1  2  6  8  9 10 12 13 14 15],"[1163.6369619539641, 15675, 14206.204426113567]"
2,0,[   1    3    4 ... 2878 2881 2883],[ 0  1  2  5  8 12 13 14],"[1096.2893491517923, 11392, 12971.949607037155]"
3,0,[   5    6    7 ... 2877 2878 2880],[ 3  4  5 14 16],"[781.1092110565983, 7315, 13827.0845739216]"
4,0,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
5,0,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1087.265161365405, 14450, 14395.59882560793]"
6,0,[   2    3    6 ... 2876 2879 2882],[ 1  2  4  5  6  7  8  9 10 11 12 14 15],"[1056.6317589199605, 18876, 13642.922086921231]"
7,0,[   1    2    3 ... 2877 2878 2883],[ 0  1  4  6  7  9 10 12 16],"[1193.8993816011166, 13068, 13787.205368279638]"
8,0,[   2    5    7 ... 2881 2882 2883],[ 0  1  4  5  7  8 11 12 13 15],"[1042.3951542700054, 14160, 12791.151220733984]"
9,0,[   0    1    3 ... 2879 2880 2882],[ 2  3  4  7 10 13 14 16],"[975.6033769841911, 11096, 13718.025312087562]"
10,0,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
11,0,[   5    9   10 ... 2875 2876 2878],[ 3  4  5  8  9 12 16],"[929.0424629562569, 10472, 13721.73453947695]"
12,0,[   1    3    4 ... 2878 2881 2883],[ 0  1  2  5  8 12 13 14],"[1095.738807556171, 11400, 13008.656958995074]"
13,0,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.8051736676312, 14010, 13396.770003296308]"
14,0,[   0    1    3 ... 2876 2877 2879],[ 1  2  4  7  9 10 13 14 15 16],"[1077.508318281414, 14030, 14878.537499086826]"
15,0,[   5    6    7 ... 2877 2878 2880],[ 3  4  5 14 16],"[780.7839442428857, 7320, 13818.540710083907]"
16,0,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[975.2947535078696, 14010, 13437.454768078882]"
17,0,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1086.8987684297217, 14460, 14400.387541589429]"
18,0,[   5    6    7 ... 2877 2878 2880],[ 3  4  5 14 16],"[781.4494062628073, 7310, 13821.763301606965]"
19,0,[   1    2    3 ... 2877 2878 2883],[ 0  1  4  6  7  9 10 12 16],"[1193.5312137953556, 13077, 13792.399174625405]"
20,1,[   1    2    5 ... 2874 2875 2879],[ 2  3  4  6  7  8 11 15],"[942.7715831932585, 11496, 13646.733570932238]"
21,1,[   6    7    9 ... 2879 2880 2883],[ 0  1  2  6  8  9 10 12 13 14 15],"[1163.6369619539641, 15675, 14206.204426113567]"
22,1,[   1    3    4 ... 2878 2881 2883],[ 0  1  2  5  8 12 13 14],"[1096.2893491517923, 11392, 12971.949607037155]"
23,1,[   5    6    7 ... 2877 2878 2880],[ 3  4  5 14 16],"[781.1092110565983, 7315, 13827.0845739216]"
24,1,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
25,1,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1087.265161365405, 14450, 14395.59882560793]"
26,1,[   2    3    6 ... 2876 2879 2882],[ 1  2  4  5  6  7  8  9 10 11 12 14 15],"[1056.6317589199605, 18876, 13642.922086921231]"
27,1,[   1    2    3 ... 2877 2878 2883],[ 0  1  4  6  7  9 10 12 16],"[1193.8993816011166, 13068, 13787.205368279638]"
28,1,[   2    5    7 ... 2881 2882 2883],[ 0  1  4  5  7  8 11 12 13 15],"[1042.3951542700054, 14160, 12791.151220733984]"
29,1,[   0    1    3 ... 2879 2880 2882],[ 2  3  4  7 10 13 14 16],"[975.6033769841911, 11096, 13718.025312087562]"
30,1,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
31,1,[   1    2    4 ... 2879 2882 2883],[ 0  3  4  6  7 11 13 15],"[1033.8881112574024, 11576, 13580.550262397084]"
32,1,[   5    6    7 ... 2877 2878 2880],[ 3  4  5 14 16],"[781.1092110565983, 7315, 13827.0845739216]"
33,1,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
34,1,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
35,1,[   1    3    4 ... 2877 2878 2880],[ 1  2  3  4  5  7 13 14 15],"[997.3550771953732, 12771, 13668.545693701635]"
36,1,[   2    4    5 ... 2878 2879 2883],[ 0  1  2  3  5  6 10 12 13 14],"[1116.891033779456, 14230, 12870.518578977337]"
37,1,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[975.1880511418104, 14030, 13451.168290634721]"
38,1,[   0    1    2 ... 2873 2874 2879],[ 4  5  6  8 11 12 13 15],"[714.2286476947056, 11528, 13078.301203815492]"
39,1,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1087.9533877448928, 14460, 14387.014137779805]"
40,2,[   1    2    5 ... 2874 2875 2879],[ 2  3  4  6  7  8 11 15],"[942.7715831932585, 11496, 13646.733570932238]"
41,2,[   6    7    9 ... 2879 2880 2883],[ 0  1  2  6  8  9 10 12 13 14 15],"[1163.6369619539641, 15675, 14206.204426113567]"
42,2,[   1    3    4 ... 2878 2881 2883],[ 0  1  2  5  8 12 13 14],"[1096.2893491517923, 11392, 12971.949607037155]"
43,2,[   5    6    7 ... 2877 2878 2880],[ 3  4  5 14 16],"[781.1092110565983, 7315, 13827.0845739216]"
44,2,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
45,2,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1087.265161365405, 14450, 14395.59882560793]"
46,2,[   2    3    6 ... 2876 2879 2882],[ 1  2  4  5  6  7  8  9 10 11 12 14 15],"[1056.6317589199605, 18876, 13642.922086921231]"
47,2,[   1    2    3 ... 2877 2878 2883],[ 0  1  4  6  7  9 10 12 16],"[1193.8993816011166, 13068, 13787.205368279638]"
48,2,[   2    5    7 ... 2881 2882 2883],[ 0  1  4  5  7  8 11 12 13 15],"[1042.3951542700054, 14160, 12791.151220733984]"
49,2,[   0    1    3 ... 2879 2880 2882],[ 2  3  4  7 10 13 14 16],"[975.6033769841911, 11096, 13718.025312087562]"
50,2,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
51,2,[   1    3    5 ... 2876 2879 2881],[ 1  2  4  5  8 11 13 15],"[978.1330768844615, 11768, 13737.49628585811]"
52,2,[   0    1    7 ... 2879 2881 2882],[ 2  7  8 12 13 16],"[894.9153764182498, 8388, 12918.534038509952]"
53,2,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1087.0770940360724, 14440, 14404.451713725148]"
54,2,[   0    1    2 ... 2872 2874 2882],[ 2  3  5  8  9 12 13 15 16],"[1004.8991174346771, 12942, 14021.475324517041]"
55,2,[   1    3    4 ... 2878 2881 2883],[ 0  1  2  5  8 12 13 14],"[1097.096427316097, 11400, 12976.330277000616]"
56,2,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1086.9133923122688, 14460, 14386.270296291195]"
57,2,[   6    7    9 ... 2879 2880 2883],[ 0  1  2  6  8  9 10 12 13 14 15],"[1164.0238618626502, 15664, 14215.532374058497]"
58,2,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1087.0151766976771, 14460, 14386.256166885709]"
59,2,[   1    2    8 ... 2877 2881 2882],[ 1  2  4  5  8  9 12 13 16],"[1034.786529859663, 12933, 13164.60705447233]"
60,3,[   1    2    5 ... 2874 2875 2879],[ 2  3  4  6  7  8 11 15],"[942.7715831932585, 11496, 13646.733570932238]"
61,3,[   6    7    9 ... 2879 2880 2883],[ 0  1  2  6  8  9 10 12 13 14 15],"[1163.6369619539641, 15675, 14206.204426113567]"
62,3,[   1    3    4 ... 2878 2881 2883],[ 0  1  2  5  8 12 13 14],"[1096.2893491517923, 11392, 12971.949607037155]"
63,3,[   5    6    7 ... 2877 2878 2880],[ 3  4  5 14 16],"[781.1092110565983, 7315, 13827.0845739216]"
64,3,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.9655819585226, 14020, 13442.097827924648]"
65,3,[   0    1    3 ... 2872 2874 2877],[ 1  2  4  5  7  9 13 14 15 16],"[1087.265161365405, 14450, 14395.59882560793]"
66,3,[   2    3    6 ... 2876 2879 2882],[ 1  2  4  5  6  7  8  9 10 11 12 14 15],"[1056.6317589199605, 18876, 13642.922086921231]"
67,3,[   1    2    3 ... 2877 2878 2883],[ 0  1  4  6  7  9 10 12 16],"[1193.8993816011166, 13068, 13787.205368279638]"
68,3,[   2    5    7 ... 2881 2882 2883],[ 0  1  4  5  7  8 11 12 13 15],"[1042.3951542700054, 14160, 12791.151220733984]"
69,3,[   0    1    3 ... 2879 2880 2882],[ 2  3  4  7 10 13 14 16],"[975.6033769841911, 11096, 13718.025312087562]"
70,3,[   0    3   10 ... 2874 2877 2878],[ 1  2  4  5  7 13],"[965.4872789666216, 8712, 13046.77919564994]"
71,3,[   0    1    2 ... 2877 2881 2882],[ 1  4  5  7  8  9 12 13 15 16],"[974.8359930324063, 14010, 13444.141178020594]"
72,3,[   1    2    6 ... 2877 2881 2882],[ 1  4  5  6  7  9 10 12 14 15],"[990.8797905916593, 14680, 14345.09452574078]"
