,0,1,2,3
0,0,[   0    1    2 ... 2879 2880 2882],[ 2  3  4  5  6  7  9 11 12 13 15],"[1022.0879994010766, 0.9924812030075187, 4.730982008287139e-06]"
1,0,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  6  7  8 11 13],"[1096.1830353578782, 0.9923398328690808, 4.532817655023537e-06]"
2,0,[   0    1    2 ... 2879 2880 2883],[ 0  1  3  5  9 10 13 14 16],"[1125.201701249609, 0.9938524590163934, 4.941581219145778e-06]"
3,0,[   2    4    5 ... 2878 2879 2882],[ 2  3  4  8 15 16],"[1023.1693191835118, 0.9958620689655172, 4.933075403157276e-06]"
4,0,[   0    1    2 ... 2879 2880 2883],[ 0  1  2  6  9 11 12 13 15],"[1238.2421547015724, 0.9938817131203264, 4.883923762690249e-06]"
5,0,[   0    1    2 ... 2876 2882 2883],[ 0  1  3  6  7 10 13 15 16],"[1119.5790961671225, 0.9936034115138592, 4.77462763404001e-06]"
6,0,[   2    3    4 ... 2879 2880 2883],[ 0  1  2  4  6  8  9 11 12 13 14 15],"[1141.5676510628675, 0.9917582417582418, 4.889321905483386e-06]"
7,0,[   3    5    7 ... 2881 2882 2883],[ 0  1  3  8 11 12 14 16],"[987.7815765347223, 0.9946666666666667, 4.364009426098238e-06]"
8,0,[   9   10   11 ... 2875 2877 2879],[ 3  7  8  9 10 11 12 15],"[938.5072218141676, 0.9945872801082544, 5.020351701495664e-06]"
9,0,[   0    1    3 ... 2876 2882 2883],[ 0  1  4  7  8 12 13 14 15],"[1029.1870311930663, 0.9937238493723849, 4.536593213217992e-06]"
10,0,[   3    5    7 ... 2881 2882 2883],[ 0  1  3  8 11 12 14 16],"[987.3241123727864, 0.9946702198534311, 4.361195164954507e-06]"
11,0,[   2    3    4 ... 2879 2880 2883],[ 0  1  2  4  6  8  9 11 12 13 14 15],"[1141.5655001253067, 0.9917525773195877, 4.8923691621839e-06]"
12,0,[   3    4    6 ... 2880 2881 2882],[ 1  2  4  7  9 10 11 12 13 14 16],"[1077.899929877711, 0.9924190213645762, 5.018187585593673e-06]"
13,0,[   0    1    2 ... 2879 2880 2883],[ 0  1  3  5  9 10 13 14 16],"[1125.201701249609, 0.9938524590163934, 4.941581219145778e-06]"
14,0,[   2    3    4 ... 2879 2880 2883],[ 0  1  2  4  6  8  9 11 12 13 14 15],"[1141.769466776622, 0.9917525773195877, 4.891991643856074e-06]"
15,0,[   0    1    3 ... 2876 2882 2883],[ 0  1  4  7  8 12 13 14 15],"[1029.2415954042403, 0.9937282229965156, 4.534165739165529e-06]"
