,0,1,2,3
0,0,[   0    1    2 ... 2878 2879 2882],[ 2  3  4  6  7 10 12 15],"[1009.3670100457094, 11280, 13568.091016854974]"
1,0,[   2    5    7 ... 2876 2879 2881],[ 1  2  3  5  6  7  9 10 11 13 14 16],"[1042.572239206349, 16728, 14506.122136874179]"
2,0,[   0    1    2 ... 2881 2882 2883],[ 0  1  2  3  9 10 13 16],"[1276.625307828471, 11496, 14498.682149397582]"
3,0,[   0    1    3 ... 2878 2880 2881],[ 3 10 11 14],"[704.650292155265, 5820, 13546.516377463655]"
4,0,[   1    3    6 ... 2880 2882 2883],[ 0  1  2  3  6  8 10 11 16],"[1186.2005826233587, 12834, 13286.40945765821]"
5,0,[   1    3    4 ... 2880 2882 2883],[ 0  1  3  5  8  9 10 12 14 15 16],"[1113.5513712769653, 15345, 14324.555564520642]"
6,0,[   0    1    2 ... 2880 2882 2883],[ 0  1  8 11 15],"[1080.5557648255865, 7190, 12826.270067355177]"
7,0,[   1    2    3 ... 2877 2878 2882],[ 2  4  6  7  9 10 13 14 15],"[982.8267851748947, 12618, 14643.038083660322]"
8,0,[   0    1    2 ... 2875 2879 2883],[ 0  1  3  5  6  7  8 13 14 15],"[1011.695102625687, 14450, 12874.880396398512]"
9,0,[   1    3    4 ... 2877 2879 2880],[ 1  3  4  7  8 12 14 15 16],"[912.1411229221778, 12852, 13668.387391679014]"
10,0,[   2    3    6 ... 2876 2877 2879],[ 1  2  4  5  8 10 12 13 14 15],"[984.6873918847051, 14460, 13735.4904356703]"
11,0,[   2    5    7 ... 2876 2879 2881],[ 1  2  3  5  6  7  9 10 11 13 14 16],"[1042.572239206349, 16728, 14506.122136874179]"
12,0,[   1    3    4 ... 2880 2882 2883],[ 0  1  3  5  8  9 10 14 15 16],"[1178.9296044453906, 14230, 14489.984141251372]"
13,0,[   0    1    2 ... 2881 2882 2883],[ 0  2  3  9 10 13 15 16],"[1270.6212528704666, 11736, 15149.236926242074]"
14,0,[   1    3    6 ... 2880 2882 2883],[ 0  1  2  3  6  8 10 11 16],"[1186.2005826233587, 12834, 13286.40945765821]"
15,0,[   1    2    3 ... 2878 2881 2883],[ 0  2  3  4  7  9 10 13 15],"[1213.2406415633095, 12960, 14638.962573135765]"
16,0,[   0    1    2 ... 2881 2882 2883],[ 0  4  5  8 11 13 14 16],"[907.8537670064217, 11464, 12981.895748254556]"
17,0,[   4    7    8 ... 2879 2880 2882],[ 4  7  8 10 14 15 16],"[783.8852101639266, 10080, 13452.558270975058]"
18,0,[   0    1    2 ... 2881 2882 2883],[ 0  1  2  3  9 10 13 16],"[1276.1300565876222, 11504, 14498.093789889072]"
19,0,[   0    1    3 ... 2878 2880 2881],[ 3 10 11 14],"[704.8176356867361, 5816, 13550.865542826175]"
20,1,[   0    1    2 ... 2878 2879 2882],[ 2  3  4  6  7 10 12 15],"[1009.3670100457094, 11280, 13568.091016854974]"
21,1,[   2    5    7 ... 2876 2879 2881],[ 1  2  3  5  6  7  9 10 11 13 14 16],"[1042.572239206349, 16728, 14506.122136874179]"
22,1,[   0    1    2 ... 2881 2882 2883],[ 0  1  2  3  9 10 13 16],"[1276.625307828471, 11496, 14498.682149397582]"
23,1,[   0    1    3 ... 2878 2880 2881],[ 3 10 11 14],"[704.650292155265, 5820, 13546.516377463655]"
24,1,[   1    3    6 ... 2880 2882 2883],[ 0  1  2  3  6  8 10 11 16],"[1186.2005826233587, 12834, 13286.40945765821]"
25,1,[   1    3    4 ... 2880 2882 2883],[ 0  1  3  5  8  9 10 12 14 15 16],"[1113.5513712769653, 15345, 14324.555564520642]"
26,1,[   0    1    2 ... 2880 2882 2883],[ 0  1  8 11 15],"[1080.5557648255865, 7190, 12826.270067355177]"
27,1,[   1    2    3 ... 2877 2878 2882],[ 2  4  6  7  9 10 13 14 15],"[982.8267851748947, 12618, 14643.038083660322]"
28,1,[   0    1    2 ... 2875 2879 2883],[ 0  1  3  5  6  7  8 13 14 15],"[1011.695102625687, 14450, 12874.880396398512]"
29,1,[   1    3    4 ... 2877 2879 2880],[ 1  3  4  7  8 12 14 15 16],"[912.1411229221778, 12852, 13668.387391679014]"
30,1,[   1    2    3 ... 2878 2879 2883],[ 0  1  3  5  6  7  8 13 14 15 16],"[992.8342773486582, 15598, 13069.930958366529]"
31,1,[   1    3    6 ... 2880 2882 2883],[ 0  1  2  3  6  8 10 11 16],"[1185.6164992354402, 12843, 13280.872758494377]"
32,1,[   0    1    2 ... 2879 2881 2882],[ 2  4  6 10 11 12 14 16],"[915.7890842384714, 11336, 14183.915422490983]"
33,1,[   4    5    7 ... 2877 2879 2880],[ 1  4  7  8 10 12 13 14 15 16],"[864.6840042492626, 13900, 13824.03041343098]"
34,1,[   2    5   18 ... 2874 2880 2881],[ 1  2  3  5  6  7  9 11 13 14 16],"[1049.769846871506, 15642, 14492.026480564416]"
35,1,[   1    2    3 ... 2877 2878 2882],[ 2  4  6  7  9 10 13 14 15],"[982.8267851748947, 12618, 14643.038083660322]"
36,1,[   1    3    4 ... 2877 2879 2880],[ 1  3  4  7  8 12 14 15 16],"[912.9593838398947, 12861, 13673.85169011582]"
37,1,[   2    5    7 ... 2876 2879 2881],[ 1  2  3  5  6  7  9 10 11 13 14 16],"[1041.4015239299426, 16716, 14502.692178058904]"
38,1,[   0    1    2 ... 2881 2882 2883],[ 0  1  2  3  9 10 13 16],"[1276.625307828471, 11496, 14498.682149397582]"
39,1,[   2    5    7 ... 2876 2879 2881],[ 1  2  3  5  6  7  9 10 11 13 14 16],"[1042.572239206349, 16728, 14506.122136874179]"
40,2,[   0    1    2 ... 2878 2879 2882],[ 2  3  4  6  7 10 12 15],"[1009.3670100457094, 11280, 13568.091016854974]"
41,2,[   2    5    7 ... 2876 2879 2881],[ 1  2  3  5  6  7  9 10 11 13 14 16],"[1042.572239206349, 16728, 14506.122136874179]"
42,2,[   0    1    2 ... 2881 2882 2883],[ 0  1  2  3  9 10 13 16],"[1276.625307828471, 11496, 14498.682149397582]"
43,2,[   0    1    3 ... 2878 2880 2881],[ 3 10 11 14],"[704.650292155265, 5820, 13546.516377463655]"
44,2,[   1    3    6 ... 2880 2882 2883],[ 0  1  2  3  6  8 10 11 16],"[1186.2005826233587, 12834, 13286.40945765821]"
45,2,[   1    3    4 ... 2880 2882 2883],[ 0  1  3  5  8  9 10 12 14 15 16],"[1113.5513712769653, 15345, 14324.555564520642]"
46,2,[   0    1    2 ... 2880 2882 2883],[ 0  1  8 11 15],"[1080.5557648255865, 7190, 12826.270067355177]"
47,2,[   1    2    3 ... 2877 2878 2882],[ 2  4  6  7  9 10 13 14 15],"[982.8267851748947, 12618, 14643.038083660322]"
48,2,[   0    1    2 ... 2875 2879 2883],[ 0  1  3  5  6  7  8 13 14 15],"[1011.695102625687, 14450, 12874.880396398512]"
49,2,[   1    3    4 ... 2877 2879 2880],[ 1  3  4  7  8 12 14 15 16],"[912.1411229221778, 12852, 13668.387391679014]"
50,2,[   0    5    6 ... 2877 2880 2881],[ 2  3 10 11 13 14 16],"[880.1968527437109, 10241, 14066.943492015269]"
51,2,[   1    2    5 ... 2877 2879 2883],[ 0  4  6  7  9 10 13 15],"[1126.5970856449806, 11256, 14185.226176048129]"
